0.06203559702782098 0.07395887333678935 0.0924485916709867 0.279419388284085 0.492137549680318
the 0.0494685150999626 0.05371816311553315 0.06292328530969092 0.049058762091860844 0.02865152458279
of 0.02288823735234855 0.025457476629892083 0.025167419700112718 0.032661079750329496 0.02316747920197371
to 0.02723181428795502 0.02887426460857325 0.02791433415740767 0.029060254146668987 0.016034131026429737
in 0.020873300273886657 0.018407343687965448 0.02055449783562085 0.01876010245443016 0.017001903740691434
said 0.018182695672108205 0.016807228190907013 0.01774127854659809 0.023887797478427373 0.012603762954750946
and 0.017639748555157396 0.018491560293073785 0.0159605202087655 0.02096337005446 0.014466611841357972
a 0.017024408489279812 0.013558873422442523 0.01663304064486185 0.021699450426479 0.014130390334994752
mln 0.008337254618066867 0.00891492919789699 0.005086527805404791 0.0075249297490861166 0.03460809748606271
it 0.011438085930430376 0.0064365548189944536 0.009595256362895816 0.025583766443687365 0.012603762954750946
vs 1.2065491487795756e-05 0.00037295925119407115 9.472118818258457e-06 4.973516027155397e-06 0.04179596806804396
dlr 0.006068942218361265 0.0033806951479204515 0.002756386576113211 0.010305125208265984 0.020614013167161153
for 0.00846997502443262 0.012103129248426953 0.007208282420694686 0.011458980926566036 0.00811020795754522
ct 0.0007721914552189284 0.0002526498153250159 3.7888475273033827e-05 0.00030835799368363466 0.025734575838395588
net 0.0003498992531460769 0.00014437132304286626 0.00022733085163820295 0.00040285479819958717 0.01944178142875966
loss 0.00026544081273150664 0.0002526498153250159 0.0001704981387286522 0.0003531196379280332 0.018492182849977057
on 0.006382644997043954 0.005197367629543185 0.0073030036088772695 0.0058985900082063015 0.005047866129318061
share 0.0006877330148043581 0.00028874264608573253 0.00011366542581910147 0.010832317907144456 0.007764899383442454
year 0.0038126953101434587 0.0050048725321526965 0.0022733085163820295 0.001651207321015592 0.0119494940775036
from 0.006020680252410082 0.005329708008999146 0.004309814062307598 0.004093203690348892 0.007010672761060098
pct 0.004741738154703732 0.004054427988787161 0.005986379093139344 0.006654564444333922 0.004407227853680035
compani 0.003293879176168241 0.00038499019478097665 0.0002368029704564614 0.009111481361748688 0.006092878919365904
is 0.005465667643971477 0.005714698203780123 0.005550661627499455 0.0067490612488498745 0.002862426337957136
that 0.0069135266225069675 0.005714698203780123 0.007104089113693843 0.005610126078631288 0.002344463476802988
shr 1.2065491487795756e-05 1.203094358690552e-05 9.472118818258457e-06 2.4867580135776987e-05 0.01487098635576779
be 0.004584886765362387 0.006304214439538493 0.0043855910128536655 0.005978166264640788 0.0029305793460037348
by 0.005525995101410456 0.004547696675850287 0.005095999924223049 0.005515629274115336 0.0029623840830921475
at 0.005465667643971477 0.005510172162802729 0.007179866064239909 0.004192674010892 0.0025080306961148243
will 0.004645214222801366 0.003934118552918106 0.0035520445568469213 0.005227165344540323 0.0037075236377349576
inc 0.0007721914552189284 0.00028874264608573253 0.00020838661400168605 0.007102180886777908 0.005756657413002685
with 0.003945415716509212 0.003669437794006184 0.00466028245858316 0.005555417402332579 0.0022808540026261624
profit 0.0003016372871948939 0.00018046415380358282 0.00017997025754691066 0.0005222191828513168 0.01138609587765172
bank 0.001037632267950435 7.218566152143313e-05 0.012815776761103691 0.002979136100266083 0.002603444907380062
ha 0.0030887658208757136 0.0034889736402026012 0.003277353111117426 0.0062417626140800235 0.0016220415915090439
wa 0.005320881746117928 0.0036213140196585617 0.004934973904312656 0.0037400840524208587 0.0020036984365699954
he 0.005308816254630132 0.003188200050529963 0.005967434855502827 0.0030238977445104817 0.001935545428523397
oper 0.0010255667764626393 0.00048123774347622083 0.0006630483172780919 0.0016760749011513689 0.007696746375395855
us 0.003800629818655663 0.008000577485292171 0.005474884676953388 0.002168452987839753 0.00105409985778739
an 0.0036196474463387265 0.0034047570350942626 0.002794275051386245 0.0044264292641683035 0.0018991971575652111
corp 0.0012910075891941458 0.0002285879281512049 0.00011366542581910147 0.005674781786984309 0.0041209852198843214
not 0.0029922418889733473 0.00357319024531094 0.003978289903668552 0.0038743689851540547 0.0016674769302067762
would 0.003921284733533621 0.00381380911704905 0.0035236282003921456 0.0039241041454256085 0.00134942955932265
as 0.004210856529240719 0.0031521072197692466 0.004063538973032878 0.0031681297092979884 0.0018946536236954378
billion 0.0019908060954862998 0.0009985683177131583 0.0043855910128536655 0.0010892000099470322 0.0050978450018855665
sale 0.0006274055573653793 0.0016121464406453397 0.0004925501785494397 0.003038818292591948 0.005197802747020578
1986 0.0016529723338280186 0.0011429396407560246 0.0005777992479137658 0.0010892000099470322 0.006651733585348012
or 0.0012548111147307585 0.0016121464406453397 0.0012597918028283746 0.0033073881580583395 0.0036893495022558647
market 0.0019425441295351166 0.0033686642043335457 0.007956579807337104 0.0014721607440379976 0.0009405115110430591
oil 0.01722952184457234 0.00048123774347622083 0.0001989144951834276 0.0005918484072314923 0.0007360524869032636
stock 0.0015926448763890397 0.0007098256716274257 0.0005493828914589905 0.003998706885832939 0.0030623418282271584
which 0.0024010328060713555 0.0020933841841215607 0.0022070036846542204 0.0033869644144928256 0.0017356299382533748
rev 1.2065491487795756e-05 1.203094358690552e-05 9.472118818258457e-06 4.973516027155397e-06 0.007437764944818781
qtr 6.032745743897878e-05 1.203094358690552e-05 9.472118818258457e-06 9.947032054310794e-06 0.007405960207730368
price 0.007058312520360517 0.004006304214439539 0.0010419330700084301 0.0017059159973143014 0.0008723585029964606
offer 0.00048261965951183023 0.0021174460712953718 0.0006251598420050581 0.00587869594409768 0.0003816568450609515
but 0.0030887658208757136 0.0026227457019454034 0.0039498735472137765 0.0017457041255315446 0.0012767330174062782
had 0.0022441814167300103 0.0014677751176024735 0.0031447434476618076 0.0027453808469897795 0.0013585166270621964
about 0.0023527708401201723 0.0013354347381465128 0.0019417843577429835 0.0028896128117772858 0.0016311286592485903
thi 0.00247342575499813 0.0036333449632454675 0.003694126339120798 0.0012334319747345386 0.0013676036948017428
have 0.0024975567379737214 0.003320540429985924 0.002803747170204503 0.0022480292442742396 0.0009177938416941929
one 0.002027002569949687 0.001431682286841757 0.002159643090562928 0.0017506776415587 0.002321745807454122
were 0.003064634837900122 0.002959612122378758 0.002301724872836805 0.0017506776415587 0.0012812765512760515
last 0.003161158769802488 0.002731024194227553 0.0023111969916550634 0.0013329022952776465 0.0016129545237694974
group 0.0006515365403409708 0.00038499019478097665 0.00046413382209466435 0.004108124238430358 0.001781065276951107
are 0.002364836331607968 0.0031521072197692466 0.0026521932691123675 0.0018998831223733619 0.001035925722308297
also 0.002014937078461891 0.0015399607791239066 0.001932312238924725 0.0024668639494690773 0.0015993239221601778
expect 0.0013513350466331246 0.001359496625320324 0.002159643090562928 0.001327928779250491 0.0024625953574170917
